Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
Moisture_Typical,MOIS_T_IN_000,MethodID_Inspection,Vial was intact and filled to top with sediment.,N/A,Pacific Northwest National Laboratory
Moisture_Typical,MOIS_T_ST_000,MethodID_Storage,Stored at 4C until analysis.,N/A,Pacific Northwest National Laboratory
Moisture_Typical,MOIS_T_PRES_000,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory
Moisture_Typical,MOIS_T_PREP_000,MethodID_Preparation,No preparation.,N/A,Pacific Northwest National Laboratory
Moisture_Typical,MOIS_T_AN_000,MethodID_Analysis,Vial was weighed then dried in 105 degC oven for 48 hours or 24 hours. If 48 hours: drying was complete after 48 hours. If 24 hours: several vials from the same oven batch were weighed again after drying; placed in the oven again for 3 hours; then weighed again. If there was no significant change to mass then analysis of all vials in oven was complete. If the mass changed then vials were put in oven again for an additional 24h until there was no mass change.,N/A,Pacific Northwest National Laboratory
Moisture_Typical,MOIS_T_DP_000,MethodID_DataProcessing,Percent moisture was calculated based on the difference between wet and dry mass. then divided by the weight of the dry or wet mass and multiplied by 100.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_IN_001,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_ST_001,MethodID_Storage,Sediment was stored at -80C before and after lyophilization. Sediment extracts were stored at 4C in the dark for under 2 days until analyis.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_PRES_001,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_PREP_001,MethodID_Preparation,Sediments were lyophilized for 3 days. Stored at -80 degC until extraction day. 10 grams of sediment and 20 mL of Milli-Q water were added to a proteomic friendly falcon tube; put on an Inova 2100 shaker at 375 rpms for 2 hours; and centrifuged at 6000 rcf for 5 minutes. 1.4 mL of the extracted supernatant was filtered (0.2 um Sterivex filter) and pipetted into analysis vial and diluted with Milli-Q water to a final volume of 7 mL.,Inova 2100 shaker,Pacific Northwest National Laboratory
NPOC_Typical,NPOC_T_AN_001,MethodID_Analysis,Best 3 of 5 injections; injection vol: 150 uL; furnace temp 680 degC; std concentration ranges 0.25-100 mg/L C; Shimadzu TOC-L,Shimadzu TOC-L CPH/CPN with a TNM-L,Environmental Molecular Sciences Laboratory/Pacific Northwest National Laboratory
