#Columns,3,,
#Header_Rows,12,,
Field_Name,Sample_Name,Material,Organic_Carbon
Unit,N/A,N/A,milligrams_per_liter
Unit_Basis,N/A,N/A,as_Carbon
MethodID_Analysis,N/A,N/A,NPOC_T_AN_001
MethodID_Inspection,N/A,N/A,NPOC_T_IN_001
MethodID_Storage,N/A,N/A,NPOC_T_ST_001
MethodID_Preservation,N/A,N/A,NPOC_T_PRES_001
MethodID_Preparation,N/A,N/A,NPOC_T_PREP_001
MethodID_DataProcessing,N/A,N/A,NPOC_T_DP_001
Analysis_DetectionLimit,-9999,-9999,-9999
Analysis_Precision,-9999,-9999,-9999
Data_Status,N/A,N/A,adjusted for dilutions
#Start_Data,ECA2_0001_01,Sediment,9.4
N/A,ECA2_0001_02,Sediment,97.7
N/A,ECA2_0001_03,Sediment,5.7
N/A,ECA2_0001_04,Sediment,13.5
N/A,ECA2_0001_05,Sediment,33.8
N/A,ECA2_0001_06,Sediment,14.3
N/A,ECA2_0001_07,Sediment,24.2
N/A,ECA2_0001_08,Sediment,13.8
N/A,ECA2_0001_09,Sediment,21.9
N/A,ECA2_0001_10,Sediment,32.7
N/A,ECA2_0002_01,Sediment,102.5
N/A,ECA2_0002_02,Sediment,51
N/A,ECA2_0002_03,Sediment,78.3
N/A,ECA2_0002_04,Sediment,112.6
N/A,ECA2_0002_05,Sediment,96.7
N/A,ECA2_0002_06,Sediment,102.8
N/A,ECA2_0002_07,Sediment,116.4
N/A,ECA2_0002_08,Sediment,58.2
N/A,ECA2_0002_09,Sediment,55
N/A,ECA2_0002_10,Sediment,39.1
N/A,ECA2_0003_01,Sediment,22.6
N/A,ECA2_0003_02,Sediment,24.5
N/A,ECA2_0003_03,Sediment,22
N/A,ECA2_0003_04,Sediment,47.7
N/A,ECA2_0003_05,Sediment,27.4
N/A,ECA2_0003_06,Sediment,29.7
N/A,ECA2_0003_07,Sediment,38.5
N/A,ECA2_0003_08,Sediment,24.4
N/A,ECA2_0003_09,Sediment,35.7
N/A,ECA2_0003_10,Sediment,26.9
N/A,ECA2_0005_01,Sediment,100
N/A,ECA2_0005_02,Sediment,41.2
N/A,ECA2_0005_03,Sediment,130.5
N/A,ECA2_0005_05,Sediment,33.7
N/A,ECA2_0005_06,Sediment,208.8
N/A,ECA2_0005_07,Sediment,334.7
N/A,ECA2_0005_08,Sediment,91.2
N/A,ECA2_0005_09,Sediment,149.2
N/A,ECA2_0005_10,Sediment,77.7
N/A,ECA2_0006_01,Sediment,37.4
N/A,ECA2_0006_02,Sediment,47.1
N/A,ECA2_0006_03,Sediment,71.5
N/A,ECA2_0006_04,Sediment,54.3
N/A,ECA2_0006_05,Sediment,40.6
N/A,ECA2_0006_06,Sediment,43
N/A,ECA2_0006_07,Sediment,54.3
N/A,ECA2_0006_09,Sediment,24.5
N/A,ECA2_0006_10,Sediment,43.3
N/A,ECA2_0007_01,Sediment,65.7
N/A,ECA2_0007_02,Sediment,73
N/A,ECA2_0007_03,Sediment,64.4
N/A,ECA2_0007_04,Sediment,34.1
N/A,ECA2_0007_05,Sediment,105.2
N/A,ECA2_0007_06,Sediment,185.7
N/A,ECA2_0007_07,Sediment,164.3
N/A,ECA2_0007_08,Sediment,27.4
N/A,ECA2_0007_09,Sediment,35.6
N/A,ECA2_0007_10,Sediment,93.1
N/A,ECA2_0008_01,Sediment,10.4
N/A,ECA2_0008_02,Sediment,10.6
N/A,ECA2_0008_03,Sediment,18
N/A,ECA2_0008_04,Sediment,15.4
N/A,ECA2_0008_05,Sediment,34.7
N/A,ECA2_0008_06,Sediment,26.2
N/A,ECA2_0008_07,Sediment,36.9
N/A,ECA2_0008_08,Sediment,45.5
N/A,ECA2_0008_09,Sediment,39.8
N/A,ECA2_0008_10,Sediment,34.1
N/A,ECA2_0009_01,Sediment,304.5
N/A,ECA2_0009_02,Sediment,252
N/A,ECA2_0009_03,Sediment,214.8
N/A,ECA2_0009_04,Sediment,171.4
N/A,ECA2_0009_05,Sediment,273.6
N/A,ECA2_0009_06,Sediment,280.3
N/A,ECA2_0009_07,Sediment,288.6
N/A,ECA2_0009_08,Sediment,299.3
N/A,ECA2_0009_09,Sediment,197.7
N/A,ECA2_0009_10,Sediment,252.1
N/A,ECA2_0010_01,Sediment,10
N/A,ECA2_0010_02,Sediment,8.2
N/A,ECA2_0010_03,Sediment,7.7
N/A,ECA2_0010_04,Sediment,10.1
N/A,ECA2_0010_05,Sediment,9.9
N/A,ECA2_0010_06,Sediment,8.3
N/A,ECA2_0010_07,Sediment,20.7
N/A,ECA2_0010_08,Sediment,13.6
N/A,ECA2_0010_09,Sediment,12.6
N/A,ECA2_0010_10,Sediment,8.8
N/A,ECA2_0011_01,Sediment,23.4
N/A,ECA2_0011_02,Sediment,20
N/A,ECA2_0011_03,Sediment,32.9
N/A,ECA2_0011_04,Sediment,28
N/A,ECA2_0011_05,Sediment,17.7
N/A,ECA2_0011_06,Sediment,46.6
N/A,ECA2_0011_07,Sediment,20.3
N/A,ECA2_0011_08,Sediment,15.3
N/A,ECA2_0011_09,Sediment,18.2
N/A,ECA2_0011_10,Sediment,12
N/A,ECA2_0013_01,Sediment,12
N/A,ECA2_0013_02,Sediment,5.9
N/A,ECA2_0013_03,Sediment,33.1
N/A,ECA2_0013_04,Sediment,23.3
N/A,ECA2_0013_05,Sediment,43.3
N/A,ECA2_0013_06,Sediment,14.3
N/A,ECA2_0013_07,Sediment,15.5
N/A,ECA2_0013_08,Sediment,15.7
N/A,ECA2_0013_09,Sediment,31.9
N/A,ECA2_0013_10,Sediment,36.9
N/A,ECA2_0016_01,Sediment,7.4
N/A,ECA2_0016_02,Sediment,9.6
N/A,ECA2_0016_03,Sediment,5.3
N/A,ECA2_0016_04,Sediment,6.3
N/A,ECA2_0016_05,Sediment,5.2
N/A,ECA2_0016_06,Sediment,4.3
N/A,ECA2_0016_07,Sediment,4.1
N/A,ECA2_0016_08,Sediment,5.1
N/A,ECA2_0016_09,Sediment,4.6
N/A,ECA2_0016_10,Sediment,6.1
N/A,ECA2_0017_01,Sediment,145.1
N/A,ECA2_0017_02,Sediment,144.9
N/A,ECA2_0017_03,Sediment,105.1
N/A,ECA2_0017_04,Sediment,121.4
N/A,ECA2_0017_05,Sediment,178.7
N/A,ECA2_0017_06,Sediment,36.7
N/A,ECA2_0017_07,Sediment,49.5
N/A,ECA2_0017_08,Sediment,86
N/A,ECA2_0017_09,Sediment,122.3
N/A,ECA2_0017_10,Sediment,33.2
N/A,ECA2_0018_01,Sediment,14.2
