#Columns,3,,
#Header_Rows,12,,
Field_Name,Sample_Name,Material,Total_Nitrogen
Unit,N/A,N/A,milligrams_per_liter
Unit_Basis,N/A,N/A,as_Nitrogen
MethodID_Analysis,N/A,N/A,TN_T_AN_001
MethodID_Inspection,N/A,N/A,TN_T_IN_001
MethodID_Storage,N/A,N/A,TN_T_ST_001
MethodID_Preservation,N/A,N/A,TN_T_PRES_001
MethodID_Preparation,N/A,N/A,TN_T_PREP_001
MethodID_DataProcessing,N/A,N/A,TN_T_DP_001
Analysis_DetectionLimit,-9999,-9999,-9999
Analysis_Precision,-9999,-9999,-9999
Data_Status,N/A,N/A,adjusted for dilutions
#Start_Data,ECA2_0001_01,Sediment,0.5
N/A,ECA2_0001_02,Sediment,9.3
N/A,ECA2_0001_03,Sediment,Below_Range
N/A,ECA2_0001_04,Sediment,1
N/A,ECA2_0001_05,Sediment,9.9
N/A,ECA2_0001_06,Sediment,1.3
N/A,ECA2_0001_07,Sediment,2.3
N/A,ECA2_0001_08,Sediment,1.4
N/A,ECA2_0001_09,Sediment,2.1
N/A,ECA2_0001_10,Sediment,4.7
N/A,ECA2_0002_01,Sediment,426.2
N/A,ECA2_0002_02,Sediment,6.8
N/A,ECA2_0002_03,Sediment,10.9
N/A,ECA2_0002_04,Sediment,11.5
N/A,ECA2_0002_05,Sediment,106.4
N/A,ECA2_0002_06,Sediment,10.1
N/A,ECA2_0002_07,Sediment,11.5
N/A,ECA2_0002_08,Sediment,7.7
N/A,ECA2_0002_09,Sediment,5.6
N/A,ECA2_0002_10,Sediment,4.5
N/A,ECA2_0003_01,Sediment,13.3
N/A,ECA2_0003_02,Sediment,3.4
N/A,ECA2_0003_03,Sediment,1.9
N/A,ECA2_0003_04,Sediment,4.3
N/A,ECA2_0003_05,Sediment,Above_Range
N/A,ECA2_0003_06,Sediment,2.2
N/A,ECA2_0003_07,Sediment,2.7
N/A,ECA2_0003_08,Sediment,1.4
N/A,ECA2_0003_09,Sediment,4
N/A,ECA2_0003_10,Sediment,Above_Range
N/A,ECA2_0005_01,Sediment,Above_Range
N/A,ECA2_0005_02,Sediment,4.4
N/A,ECA2_0005_03,Sediment,Above_Range
N/A,ECA2_0005_05,Sediment,10.4
N/A,ECA2_0005_06,Sediment,Above_Range
N/A,ECA2_0005_07,Sediment,Above_Range
N/A,ECA2_0005_08,Sediment,13.6
N/A,ECA2_0005_09,Sediment,Above_Range
N/A,ECA2_0005_10,Sediment,Above_Range
N/A,ECA2_0006_01,Sediment,51.1
N/A,ECA2_0006_02,Sediment,3.1
N/A,ECA2_0006_03,Sediment,4.1
N/A,ECA2_0006_04,Sediment,2.7
N/A,ECA2_0006_05,Sediment,5.2
N/A,ECA2_0006_06,Sediment,2
N/A,ECA2_0006_07,Sediment,5.3
N/A,ECA2_0006_09,Sediment,1.3
N/A,ECA2_0006_10,Sediment,13.3
N/A,ECA2_0007_01,Sediment,5.2
N/A,ECA2_0007_02,Sediment,6.6
N/A,ECA2_0007_03,Sediment,4.5
N/A,ECA2_0007_04,Sediment,2.2
N/A,ECA2_0007_05,Sediment,109
N/A,ECA2_0007_06,Sediment,13.1
N/A,ECA2_0007_07,Sediment,8.9
N/A,ECA2_0007_08,Sediment,1.5
N/A,ECA2_0007_09,Sediment,8.5
N/A,ECA2_0007_10,Sediment,7.6
N/A,ECA2_0008_01,Sediment,0.8
N/A,ECA2_0008_02,Sediment,1
N/A,ECA2_0008_03,Sediment,2.6
N/A,ECA2_0008_04,Sediment,1.8
N/A,ECA2_0008_05,Sediment,4.1
N/A,ECA2_0008_06,Sediment,3.4
N/A,ECA2_0008_07,Sediment,5.7
N/A,ECA2_0008_08,Sediment,7.2
N/A,ECA2_0008_09,Sediment,7.2
N/A,ECA2_0008_10,Sediment,5.9
N/A,ECA2_0009_01,Sediment,50.7
N/A,ECA2_0009_02,Sediment,40.9
N/A,ECA2_0009_03,Sediment,33.5
N/A,ECA2_0009_04,Sediment,28.8
N/A,ECA2_0009_05,Sediment,56.5
N/A,ECA2_0009_06,Sediment,46
N/A,ECA2_0009_07,Sediment,46.1
N/A,ECA2_0009_08,Sediment,46
N/A,ECA2_0009_09,Sediment,32.3
N/A,ECA2_0009_10,Sediment,44
N/A,ECA2_0010_01,Sediment,3.1
N/A,ECA2_0010_02,Sediment,0.6
N/A,ECA2_0010_03,Sediment,0.6
N/A,ECA2_0010_04,Sediment,0.6
N/A,ECA2_0010_05,Sediment,0.9
N/A,ECA2_0010_06,Sediment,0.6
N/A,ECA2_0010_07,Sediment,2
N/A,ECA2_0010_08,Sediment,1.6
N/A,ECA2_0010_09,Sediment,13
N/A,ECA2_0010_10,Sediment,0.6
N/A,ECA2_0011_01,Sediment,8.1
N/A,ECA2_0011_02,Sediment,2.4
N/A,ECA2_0011_03,Sediment,2.6
N/A,ECA2_0011_04,Sediment,3
N/A,ECA2_0011_05,Sediment,2.2
N/A,ECA2_0011_06,Sediment,5.3
N/A,ECA2_0011_07,Sediment,2.2
N/A,ECA2_0011_08,Sediment,1.4
N/A,ECA2_0011_09,Sediment,2
N/A,ECA2_0011_10,Sediment,1.7
N/A,ECA2_0013_01,Sediment,2
N/A,ECA2_0013_02,Sediment,0.9
N/A,ECA2_0013_03,Sediment,4.1
N/A,ECA2_0013_04,Sediment,2.5
N/A,ECA2_0013_05,Sediment,5.6
N/A,ECA2_0013_06,Sediment,2.2
N/A,ECA2_0013_07,Sediment,2.1
N/A,ECA2_0013_08,Sediment,2.5
N/A,ECA2_0013_09,Sediment,3.6
N/A,ECA2_0013_10,Sediment,5.2
N/A,ECA2_0016_01,Sediment,Below_Range
N/A,ECA2_0016_02,Sediment,1.1
N/A,ECA2_0016_03,Sediment,Below_Range
N/A,ECA2_0016_04,Sediment,Below_Range
N/A,ECA2_0016_05,Sediment,4.8
N/A,ECA2_0016_06,Sediment,Below_Range
N/A,ECA2_0016_07,Sediment,Below_Range
N/A,ECA2_0016_08,Sediment,Below_Range
N/A,ECA2_0016_09,Sediment,Below_Range
N/A,ECA2_0016_10,Sediment,Below_Range
N/A,ECA2_0017_01,Sediment,Above_Range
N/A,ECA2_0017_02,Sediment,Above_Range
N/A,ECA2_0017_03,Sediment,10.7
N/A,ECA2_0017_04,Sediment,14
N/A,ECA2_0017_05,Sediment,Above_Range
N/A,ECA2_0017_06,Sediment,4.6
N/A,ECA2_0017_07,Sediment,10.5
N/A,ECA2_0017_08,Sediment,12.2
N/A,ECA2_0017_09,Sediment,Above_Range
N/A,ECA2_0017_10,Sediment,4.8
N/A,ECA2_0018_01,Sediment,1.4
N/A,ECA2_0018_02,Sediment,1.2
N/A,ECA2_0018_03,Sediment,1.7
N/A,ECA2_0018_04,Sediment,2.1
N/A,ECA2_0018_05,Sediment,4
N/A,ECA2_0018_06,Sediment,3.5
N/A,ECA2_0018_07,Sediment,2.8
N/A,ECA2_0018_09,Sediment,3.5
N/A,ECA2_0018_10,Sediment,4.1
N/A,ECA2_0019_01,Sediment,3.9
N/A,ECA2_0019_02,Sediment,3.9
N/A,ECA2_0019_04,Sediment,2.2
N/A,ECA2_0019_05,Sediment,3.3
N/A,ECA2_0019_07,Sediment,3.7
N/A,ECA2_0019_08,Sediment,3.6
N/A,ECA2_0019_09,Sediment,3.8
N/A,ECA2_0019_10,Sediment,5
N/A,ECA2_0021_01,Sediment,3.2
N/A,ECA2_0021_02,Sediment,2.2
N/A,ECA2_0021_03,Sediment,1.9
N/A,ECA2_0021_04,Sediment,1.6
N/A,ECA2_0021_05,Sediment,6.6
N/A,ECA2_0021_06,Sediment,2.5
N/A,ECA2_0021_07,Sediment,4.4
N/A,ECA2_0021_08,Sediment,3.7
N/A,ECA2_0021_09,Sediment,3.6
N/A,ECA2_0021_10,Sediment,7.1
N/A,ECA2_0022_01,Sediment,3.7
N/A,ECA2_0022_02,Sediment,2.6
N/A,ECA2_0022_03,Sediment,1.5
N/A,ECA2_0022_04,Sediment,0.9
N/A,ECA2_0022_05,Sediment,1.5
N/A,ECA2_0022_06,Sediment,0.6
N/A,ECA2_0022_07,Sediment,1.8
N/A,ECA2_0022_08,Sediment,1
N/A,ECA2_0022_09,Sediment,1.1
N/A,ECA2_0022_10,Sediment,2.1
N/A,ECA2_0023_01,Sediment,8.9
N/A,ECA2_0023_02,Sediment,2.2
N/A,ECA2_0023_03,Sediment,7.7
N/A,ECA2_0023_05,Sediment,Above_Range
N/A,ECA2_0023_08,Sediment,2.7
N/A,ECA2_0023_09,Sediment,1.9
N/A,ECA2_0023_10,Sediment,6.3
N/A,ECA2_0024_01,Sediment,8
N/A,ECA2_0024_05,Sediment,2.2
N/A,ECA2_0024_06,Sediment,1.7
N/A,ECA2_0024_07,Sediment,2.9
N/A,ECA2_0024_08,Sediment,1.1
N/A,ECA2_0024_09,Sediment,9.4
N/A,ECA2_0024_10,Sediment,3.5
N/A,ECA2_0026_01,Sediment,2.6
N/A,ECA2_0026_02,Sediment,4.4
N/A,ECA2_0026_03,Sediment,7.2
N/A,ECA2_0026_04,Sediment,6.9
N/A,ECA2_0026_05,Sediment,7
N/A,ECA2_0026_06,Sediment,7.9
N/A,ECA2_0026_07,Sediment,7.9
N/A,ECA2_0026_08,Sediment,8.1
N/A,ECA2_0026_09,Sediment,9.3
N/A,ECA2_0026_10,Sediment,11.1
N/A,ECA2_0027_01,Sediment,3
N/A,ECA2_0027_02,Sediment,4
N/A,ECA2_0027_03,Sediment,7.1
N/A,ECA2_0027_04,Sediment,3.1
N/A,ECA2_0027_05,Sediment,5.8
N/A,ECA2_0027_06,Sediment,8.7
N/A,ECA2_0027_07,Sediment,5.2
N/A,ECA2_0027_08,Sediment,7.6
N/A,ECA2_0027_09,Sediment,3.2
N/A,ECA2_0027_10,Sediment,5
N/A,ECA2_0028_01,Sediment,1.5
N/A,ECA2_0028_02,Sediment,0.7
N/A,ECA2_0028_03,Sediment,2.1
N/A,ECA2_0028_04,Sediment,0.7
N/A,ECA2_0028_05,Sediment,1.3
N/A,ECA2_0028_06,Sediment,1.5
N/A,ECA2_0028_07,Sediment,Below_Range
N/A,ECA2_0028_08,Sediment,Below_Range
N/A,ECA2_0028_09,Sediment,1.1
N/A,ECA2_0028_10,Sediment,0.8
N/A,ECA2_0029_01,Sediment,6.5
N/A,ECA2_0029_02,Sediment,7.4
N/A,ECA2_0029_03,Sediment,4.4
N/A,ECA2_0029_04,Sediment,3.8
N/A,ECA2_0029_05,Sediment,Above_Range
